,food,amount,cals,protein,carbs,fat
0,agua,500.0,0.0,0.0,0.0,0.0
1,coca light,250.0,0.0,0.0,0.0,0.0
2,coca light G,300.0,0.0,0.0,0.0,0.0
3,cafe G,300.0,0.0,0.0,0.0,0.0
4,cafe,170.0,0.0,0.0,0.0,0.0
5,cafe arlistan,170.0,0.05882353,0.0,0.0,0.0
6,leche,250.0,0.4,0.034,0.047,0.015
7,,0.0,1.4934732,0.0,0.0,0.0
8,coca,250.0,0.0,0.0,0.0,0.0
9,chocolatada,250.0,0.0,0.0,0.0,0.0
10,calorias,0.0,0.0,0.0,0.0,0.0
11,cafe grande,300.0,0.0,0.0,0.0,0.0
12,almibarlegi,300.0,0.0,0.0,0.0,0.0
13,agua media,250.0,0.0,0.0,0.0,0.0
14,coca light media,250.0,0.0,0.0,0.0,0.0
15,alfajor terrabusi clasico,50.0,4.1,0.072,0.58,0.14
16,coca light chica,220.0,0.0,0.0,0.0,0.0
17,alfajor terrabusi torta,70.0,3.8857143,0.0629,0.5887,0.1414
18,bonobon,15.0,5.5333333,0.093333334,0.48666668,0.36
19,coca light grande,340.0,0.0,0.0,0.0,0.0
20,licuado,340.0,0.7229219,0.02,0.156,0.00786
21,waldorf,100.0,1.0916667,0.0,0.0,0.0
22,termo nescafe,900.0,0.0,0.0,0.0,0.0
23,dia desfasado,1.0,0.0,0.0,0.0,0.0
24,termo nesquick,900.0,0.0,0.0,0.0,0.0
25,leiva,4.7,4.266667,0.096666664,0.6666667,0.123333335
26,leiva light marinera,4.7,4.266667,0.096666664,0.6666667,0.123333335
27,cafe leche,250.0,0.4,0.034,0.047,0.015
28,agua grande,340.0,0.0,0.0,0.0,0.0
29,agua chica,220.0,0.0,0.0,0.0,0.0
30,coca grande,340.0,0.3,0.0,0.075,0.0
31,agua larga,260.0,0.0,0.0,0.0,0.0
32,coca media,250.0,0.3,0.0,0.075,0.0
33,turron arcor,25.0,4.5142856,0.0,0.0,0.0
34,turron,100.0,0.0,0.0,0.0,0.0
35,alfajor tofi,46.0,3.89,0.063,0.6087,0.137
36,sugus,3.333,3.95,0.015,0.85,0.05
37,flynn paff,8.0,4.05,0.0,0.9,0.04
38,aguam,250.0,0.0,0.0,0.0,0.0
39,aguag,340.0,0.0,0.0,0.0,0.0
40,cafeg,340.0,0.0,0.0,0.0,0.0
41,cafem,250.0,0.0,0.0,0.0,0.0
42,cocag,340.0,0.0,0.0,0.0,0.0
43,cocam,250.0,0.0,0.0,0.0,0.0
44,aguac,220.0,0.0,0.0,0.0,0.0
45,cocac,220.0,0.0,0.0,0.0,0.0
46,tofi,46.0,3.89,0.063,0.6087,0.137
47,tostaditas,10.041667,3.0,0.12,0.72,0.0
48,huevo frito,46.375,1.92,0.13723017,0.0067,0.1539
49,chocolinas,7.1527777,4.5151515,0.09090909,0.6666667,0.16666667
50,corcho,10.333333,3.7,0.097,0.79,0.033
51,mejillon,3.6956522,1.2407408,0.18333334,0.01,0.022
52,pan verde,26.006495,2.2506752,0.134,0.4,0.04
53,tostadita,10.041667,3.0370371,0.12,0.72,0.0
54,pan bimbo,35.430557,2.5523465,0.086,0.46,0.016
55,cocal,260.0,0.0,0.0,0.0,0.0
56,panv,26.006495,2.2506752,0.134,0.4,0.04
57,pepsi,500.0,0.43,0.0,0.115,0.0
58,papa horno,7.4185185,1.1,0.0243,0.2053,0.022
59,chocolina,7.1527777,0.0,0.0,0.0,0.0
60,empanada tita,54.0,2.3407385,0.16333333,0.24074075,0.13055556
61,papa nose,4.58,1.89,0.0294,0.2588,0.0835
62,salchicha copetin,14.0,2.06,0.09,0.148,0.124
63,ayuno,1.0,0.0,0.0,0.0,0.0
64,cafec,220.0,0.0,0.0,0.0,0.0
65,mayo,7.0,2.5092592,0.0,0.1,0.1583
66,paty,60.0,2.475,0.1875,0.0,0.1875
67,papa frita,90.0,2.49,0.035,0.347,0.11
68,stacker doble bk,175.0,3.7542858,0.17142858,0.21714285,0.22285715
69,stacker triple bk,260.0,3.0384614,0.15384616,0.15,0.21153846
70,stacker quintuple bk,380.0,2.7789474,0.15789473,0.10789473,0.22894737
71,whopper bk,280.0,1.9142857,0.08214286,0.18928571,0.092857145
72,aros king bk,150.0,2.5933332,0.033333335,0.31333333,0.13333334
73,aros regulares  bk,80.0,0.0,0.0,0.0,0.0
74,aros regulares bk,80.0,2.5875,0.033375,0.3125,0.133375
75,hamburguesa queso bk,100.0,3.68,0.16,0.33,0.18
76,papas regulares bk,90.0,3.8222222,0.03888889,0.5222222,0.16666667
77,papas king bk,155.0,3.8193548,0.038709678,0.5225806,0.16774194
78,zanahoria bonduelle lata,265.0,0.23076923,0.006153846,0.033846155,0.0
79,queso crema light paulina,290.0,1.1,0.05666667,0.1,0.053333335
80,huevo duro,60.0,1.6333333,0.13,0.0,0.12
81,tomate lata arcor,240.0,0.18461539,0.0069230767,0.035384614,0.0
82,papa,200.0,0.78707695,0.03,0.18,0.0
83,omelette,78.0,3.761478,0.152089,0.008698413,0.34850794
84,naranja ombligo,300.0,0.43072858,0.01,0.04,0.0
85,manzana,240.0,0.52,0.0,0.14,0.0
86,banana,110.0,0.8578554,0.01,0.2,0.0
87,vainilla valente,12.3,3.7666667,0.07666667,0.7,0.07
88,galletita melba,13.0,4.647059,0.061764706,0.7058824,0.17352942
89,galletita sonrisa,13.0,4.1,0.07666667,0.7,0.11
90,galletita rumba,13.0,4.642857,0.071428575,0.6785714,0.17857143
91,galletita mellizas,13.0,4.714286,0.067857146,0.71428573,0.175
92,opera,5.0,5.0333333,0.053333335,0.6666667,0.24
93,galletita opera,5.0,5.0333333,0.053333335,0.6666667,0.24
94,galletita merengada,12.0,4.173913,0.060869563,0.6956522,0.13043478
95,milanesa soja lucchetti,72.5,2.7724137,0.13103448,0.27586207,0.12551723
96,galletita toddy,10.0,4.4333334,0.05666667,0.6,0.20333333
97,tomate,250.0,0.20033509,0.01,0.04,0.0
98,cebolla,130.0,0.4996232,0.011,0.09,0.001
99,ajo,2.7,1.5,0.04,0.24,0.0
100,berenjena,200.0,0.25484607,0.01,0.06,0.0
101,zapallito,50.0,0.16890429,0.01,0.01,0.0
102,zanahoria,100.0,0.40314135,0.01,0.1,0.0
103,mandarina,130.0,0.50877196,0.01,0.09,0.0
104,frutilla,30.0,0.32,0.0067,0.0768,0.003
105,naranja,300.0,0.43072858,0.01,0.04,0.0
106,ciruela,140.0,0.5,0.01,0.11,0.0
107,salchicha,35.0,2.2857144,0.12,0.136,0.12267
108,galletita amor,14.0,4.678571,0.067857146,0.71428573,0.16785714
109,croissant bk,120.0,2.4833333,0.068333335,0.29666665,0.09
110,pan flauta,36.0,2.61,0.0847,0.515,0.016
111,champagne,80.0,0.676,0.0,0.0,0.0
112,empanada frita carne,130.0,2.93,0.0739,0.2247,0.1916
113,empanada frita,130.0,2.93,0.0739,0.2247,0.1916
114,nuez,5.75,6.0,0.1523,0.1371,0.6521
115,te grande,340.0,0.0,0.0,0.0,0.0
116,morcilla,100.0,3.79,0.146,0.0129,34.5
